Region,Dataset,R2,Slope,Slope_p,Intercept,Intercept_p
Statewide,Training,0.5236541515949615,1.0019955651131773,<0.0001,-6.527748121502649e-4,0.974668068333173
Statewide,Testing,0.5468541937950822,1.0492891584615665,<0.0001,-0.050044819220273214,0.15556106198481248
Central_Valley,Training,0.4507642385436536,0.8861295077036317,<0.0001,-0.015376112511032804,0.7860406825031799
Central_Valley,Testing,0.5016232180156226,0.9984749625168627,<0.0001,-0.05141810532905601,0.6485076810807113
Chaparral,Training,0.45609193508794194,0.9783906038286377,<0.0001,0.004080138033504186,0.9256940865290018
Chaparral,Testing,0.5336893212278366,1.1709476343512106,<0.0001,-0.18192108029366627,0.01726028370885438
Deserts_Modoc,Training,0.12263326000126697,0.6029098916316561,0.004899,0.32412947735187536,0.08773571303264852
Deserts_Modoc,Testing,0.16168930775949186,0.8258351158567758,0.037597,0.18951951620204427,0.5760578931654321
North_Coast,Training,0.2576264653567868,0.9093648778836062,<0.0001,0.10234503113765994,0.3328435418856627
North_Coast,Testing,0.08123536523137953,0.5748064838177428,0.024745,0.38748106204684657,0.09891872796724559
Sierra,Training,0.13647395423285538,0.7748357143928258,<0.0001,0.2539524208365909,0.02781959136553542
Sierra,Testing,0.18754026801065932,1.0250521106271184,<0.0001,0.012607836487570695,0.9543537416006272
South_Coast,Training,0.4919293759254118,0.8863949116151459,<0.0001,0.09293880327730895,0.003752322935171932
South_Coast,Testing,0.524006589235263,0.877793153061579,<0.0001,0.08483629748972922,0.09055684355035123
